price_level,address_verified,has_website,has_email,has_social,has_phone,socials_count,instagram_engagement_rate,reviews_count_30d,reviews_count_90d,beam_velocity_reviews_per_month,sentiment_avg,sentiment_positive_pct_360d,sentiment_negative_pct_360d,log_reviews_total_count,log_instagram_followers,log_instagram_post_count,log_reviews_count_360d,log_website_domain_age,review_recency_ratio,has_description,description_length,tag_dine_in,tag_takeout,tag_delivery,tag_drive_through,tag_curbside,tag_alcohol,tag_beer,tag_cocktails,tag_coffee,tag_late_night_food,tag_comfort_food,tag_vegan_options,tag_vegetarian_options,tag_breakfast,tag_brunch,tag_lunch,tag_dinner,tag_dessert,tag_seating,tag_catering,tag_casual,tag_cozy,tag_upscale,tag_lively,tag_quiet,tag_historic,tag_romantic,tag_trendy,tag_bar_onsite,tag_live_music,tag_outdoor_seating,tag_wifi,tag_restroom,tag_parking,tag_credit_cards,tag_debit_cards,tag_cash_only,tag_nfc_mobile_payments,tag_fast_service,tag_great_cocktails,tag_great_beer_selection,tag_groups,tag_tourists,tag_families,tag_locals,tag_kids_menu,tag_high_chairs,tag_good_for_kids,has_menu_link,has_order_links,has_reservation_link,sentiment_trend_num,category_count,cat_restaurant,cat_american_restaurant,cat_pizza_restaurant,cat_fast_food_restaurant,cat_bar,cat_italian_restaurant,cat_sandwich_shop,cat_takeout_restaurant,cat_caterer,cat_bar_&_grill,cat_breakfast_restaurant,cat_family_restaurant,cat_mexican_restaurant,cat_hamburger_restaurant,cat_seafood_restaurant,rating
2,1,1,1,1,1,1,1.01,2.0,13.0,2.0,0.6202,88.1,10.71,6.439350371100098,0.0,0.0,4.442651256490317,8.9242570208881,0.0208,1,91,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,-1.0,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.19
2,1,1,1,1,1,5,3.95,1.0,10.0,8.0,0.7026,95.24,3.17,6.416732282512326,7.160845906664299,6.0844994130751715,4.1588830833596715,8.480114183174816,0.016366612111292964,1,98,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1.0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.62
2,1,1,1,1,1,4,2.68,0.0,10.0,7.0,0.4886,65.71,28.57,6.184148890937483,7.75190533307861,2.8903717578961645,3.58351893845611,8.341410211461865,0.02066115702479339,1,99,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.96
2,1,1,1,1,1,2,1.01,0.0,5.0,7.0,0.6207,91.53,5.08,6.1463292576688975,0.0,0.0,4.0943445622221,5.455321115357702,0.01072961373390558,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0.0,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4.25
2,1,1,1,1,1,5,0.0,0.0,2.0,1.0,0.726,69.23,26.92,6.171700597410915,2.3978952727983707,0.0,3.295836866004329,5.700443573390686,0.0041841004184100415,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0.0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47
2,1,1,1,1,1,4,47.98,3.0,45.0,55.0,0.926,97.86,1.43,5.805134968916488,3.5263605246161616,3.8918202981106265,5.638354669333745,5.25227342804663,0.13595166163141995,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1.0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.92
1,1,1,1,1,1,2,1.01,0.0,2.0,1.0,0.6031,77.78,11.11,5.937536205082426,0.0,0.0,2.302585092994046,8.371473537066832,0.005291005291005291,1,94,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0.0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.13
2,1,1,1,1,1,1,1.01,2.0,5.0,6.0,0.8215,92.31,7.69,6.406879986069314,0.0,0.0,3.6888794541139363,8.45765547870004,0.008264462809917356,1,100,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1.0,5,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,4.61
2,1,1,1,1,1,2,0.09,1.0,4.0,1.0,0.5623,58.62,41.38,6.07073772800249,12.409503165534364,7.5652752818989315,3.4011973816621555,7.52294091807237,0.009259259259259259,1,98,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.1
2,1,1,1,1,1,3,3.51,0.0,5.0,4.0,0.6877,88.89,11.11,5.993961427306569,8.112227958349724,4.499809670330265,3.332204510175204,8.313852267398207,0.0125,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59
2,1,1,1,1,1,3,2.9,1.0,14.0,8.0,0.7718,80.25,3.7,4.912654885736052,4.248495242049359,2.1972245773362196,4.406719247264253,6.431331081933479,0.1037037037037037,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77
2,1,1,1,1,1,3,0.75,1.0,13.0,4.0,0.7081,80.42,13.29,6.638567789166521,8.749415406663651,6.802394763324311,4.969813299576001,7.7266536648476425,0.01703800786369594,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.39
2,1,1,1,1,1,4,6.44,1.0,7.0,7.0,0.7554,81.54,16.92,6.93537044601511,5.153291594497779,3.5263605246161616,4.189654742026425,8.644178203170727,0.006815968841285297,1,98,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,-1.0,5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4.49
2,1,1,1,1,1,1,1.01,0.0,5.0,3.0,0.6297,85.37,12.2,6.380122536899765,0.0,0.0,3.7376696182833684,7.68937110752969,0.008488964346349746,1,96,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27
2,1,1,1,1,1,3,0.28,0.0,3.0,2.0,0.2221,31.82,68.18,6.487684018484611,14.474692391710223,6.703188113240863,3.1354942159291497,9.25846364715791,0.004573170731707317,1,82,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.87
2,1,1,1,1,1,8,0.98,0.0,7.0,2.0,0.156,27.27,70.91,6.959398512133975,13.250265706536583,7.0326242610280065,4.02535169073515,9.25874951118387,0.006653992395437262,1,98,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0.0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.1
